Index,SSIM,RMSE,PSNR
0,0.6615743041038513,0.09712460283403186,20.253415332816814
1,0.7297258377075195,0.1491073564598456,16.5300186939303
2,0.8627855777740479,0.15727731229217445,16.066677931802356
3,0.7260069251060486,0.10189493499143554,19.83694819725674
4,0.8963302969932556,0.047521814992286936,26.462139417387277
5,0.7232058644294739,0.11904141720018072,18.48603893573882
6,0.8428382873535156,0.08664323906442066,21.24530619261908
7,0.7443748116493225,0.11424998721199882,18.84287762682545
8,0.7650756239891052,0.18851819344520523,14.49293452987574
9,0.7589669227600098,0.13628889355549245,17.31079023476847
10,0.8605692386627197,0.07090519079511726,22.986440197128065
11,0.8318540453910828,0.04491230095550625,26.952694086898838
12,0.8399054408073425,0.055605675794418975,25.097617734558327
13,0.8470644354820251,0.09751282172841315,20.21876508707345
14,0.7770287990570068,0.07379565925351907,22.639383274502766
15,0.7630603909492493,0.060998945939057074,24.293553627620774
16,0.7447888255119324,0.05612098606096898,25.017493742507746
17,0.8643361926078796,0.03317957105777842,29.58258499771187
18,0.8402877449989319,0.055475675375549344,25.117948285396032
19,0.878323495388031,0.0367156968470692,28.702964461560896
