Index,SSIM,RMSE,PSNR
0,0.5315459370613098,0.09257229933013494,20.67037898079121
1,0.6237587928771973,0.05422358906181812,25.31623479665395
2,0.741773247718811,0.07677473978876528,22.29563293657638
3,0.5659758448600769,0.1947040405981081,14.212500713692489
4,0.7147858738899231,0.0702982677415345,23.0611075307733
5,0.47865092754364014,0.11634055252259341,18.685377559774224
6,0.680647611618042,0.05331114121605522,25.46364041120375
7,0.5288186073303223,0.14895865246395218,16.538685302726833
8,0.5941216945648193,0.1602303902415939,15.905102191688092
9,0.6084412932395935,0.058275617953751045,24.69026225062005
10,0.6662203073501587,0.10913718678781839,19.240544902989534
11,0.6850170493125916,0.08431978294331957,21.48141040189051
12,0.6908849477767944,0.09518838113947015,20.428321182512995
13,0.6334172487258911,0.07594634918741901,22.38986196488938
14,0.6246396899223328,0.12181639047312166,18.285885463434678
15,0.6267125606536865,0.12308845596792886,18.195653522124243
16,0.5343995094299316,0.09134198985923357,20.78659063288739
17,0.6803727149963379,0.0862590958792611,21.28390196407625
18,0.6946209073066711,0.10215439215546415,19.814859120449633
19,0.6752594113349915,0.08932295598351318,20.980738263269014
