Index,SSIM,RMSE,PSNR
0,0.28614088892936707,0.09211378484139948,20.713507289699947
1,0.32132595777511597,0.08234351758906014,21.687411873194073
2,0.5235525369644165,0.05087006578136913,25.870754164857992
3,0.3356422483921051,0.1988390970106855,14.029964270497056
4,0.4658229649066925,0.0807258848194904,21.85974342924759
5,0.31510603427886963,0.09523831591694105,20.42376546982631
6,0.4021221697330475,0.09346353454444556,20.58715592210313
7,0.38009321689605713,0.09543966014811894,20.40542215828222
8,0.33053120970726013,0.10443563356934744,19.62302549544951
9,0.3287484645843506,0.0852777777566368,21.383282356238638
10,0.41314589977264404,0.08128892992953811,21.799372408781327
11,0.48533645272254944,0.08084810599984256,21.84660302535118
12,0.42623522877693176,0.1177160265470545,18.583288024252344
13,0.480648010969162,0.1496166775268322,16.500399802735807
14,0.4177660644054413,0.09620145077229796,20.33636753632333
15,0.39092254638671875,0.1089010870652461,19.259355749827215
16,0.3649935722351074,0.1206396610425054,18.370198224315036
17,0.46618959307670593,0.07317541257414845,22.712695814810353
18,0.4689079523086548,0.0749743888508497,22.501741171698384
19,0.5337607860565186,0.06366391410089439,23.92213318312585
