Index,SSIM,RMSE,PSNR
0,0.6664537191390991,0.09821952155661866,20.156043714376732
1,0.7086094617843628,0.14293741404178942,16.897081584411634
2,0.5648970007896423,0.1413775468314199,16.992391168846044
3,0.6229891777038574,0.09419864636606612,20.519106759423103
4,0.7439395189285278,0.07079920408613206,22.99943249110401
5,0.7272564172744751,0.030839217126824137,30.21793310646558
6,0.6811844706535339,0.08552351715142945,21.358288941755298
7,0.6403354406356812,0.056998891274935556,24.882671840185445
8,0.6817591786384583,0.05048692283774748,25.93642197223081
9,0.6165004968643188,0.117351546496199,18.61022365512286
10,0.7127110362052917,0.07032491822986452,23.057815282747377
11,0.7284433245658875,0.0305697622765274,30.29415877038748
12,0.7006044387817383,0.0423834164552861,27.45608076945794
13,0.7096030712127686,0.10093128189326293,19.91948421775789
14,0.6672007441520691,0.04025265875825017,27.904108568828356
15,0.6708335876464844,0.03827813713342147,28.34098412028721
16,0.6143859624862671,0.17108588179505702,15.335716549269367
17,0.6762543320655823,0.09392121431968886,20.544726020197764
18,0.6430988907814026,0.044882849655401735,26.958391542022042
19,0.6292206048965454,0.0788580570896225,22.063078546181714
20,0.6491424441337585,0.0376867236879743,28.47623232985189
21,0.7438864707946777,0.06477646387636352,23.771655273135877
22,0.6757358312606812,0.05938106504230923,24.527040345695458
23,0.7746105194091797,0.02606433265064123,31.679067804805868
24,0.7789572477340698,0.0286748459618199,30.849978128070987
25,0.6813029646873474,0.08566492423130453,21.343939298061237
26,0.6658124923706055,0.14644955113475092,16.6862391017029
27,0.6638259291648865,0.11837057946713929,18.535124527059672
28,0.7339481115341187,0.03247854454999688,29.768068817722995
