Index,SSIM,RMSE,PSNR
0,0.2779553532600403,0.07988460930480011,21.950737742689178
1,0.31584951281547546,0.07748488508100056,22.21566001093389
2,0.2657400369644165,0.08694621627194617,21.21498606222643
3,0.2934205234050751,0.07079996897790554,22.99933866987193
4,0.29721927642822266,0.06494551122211224,23.74901718821735
5,0.3271045982837677,0.1160193595220942,18.70939081165261
6,0.2654385566711426,0.07839088791808271,22.114687977025635
7,0.2769785523414612,0.08611378957053736,21.29854606903043
8,0.29326102137565613,0.07784319358436932,22.17558707498446
9,0.29413652420043945,0.08755288665180935,21.1545906826981
10,0.3081599473953247,0.09108372400016947,20.811184097522002
11,0.2603846788406372,0.10732768003732764,19.385764986538817
12,0.2939563989639282,0.08937032503125662,20.976133547888782
13,0.27694857120513916,0.17318581198203867,15.22975390325211
14,0.27042192220687866,0.12389679698313823,18.138798500137895
15,0.2776893675327301,0.13180555064077182,17.601325678353785
16,0.3075278103351593,0.08102220723276823,21.82791890537946
17,0.2506890892982483,0.0999149842156742,20.00738740509111
18,0.25554195046424866,0.13260272934632356,17.548950510132183
19,0.27266982197761536,0.07324704789882969,22.7041976889125
20,0.28730395436286926,0.0788848964908537,22.06012335215183
21,0.29947495460510254,0.06645452273527054,23.549509237188907
22,0.31561046838760376,0.06555977386960779,23.667251095574176
23,0.3168864846229553,0.07764501947137285,22.1977282109208
24,0.31946149468421936,0.06288838782388947,24.028590347333072
25,0.29939696192741394,0.06775684139748214,23.380937060023786
26,0.3127916157245636,0.07118815635725206,22.951845565606476
27,0.2744014263153076,0.09495297146286194,20.449828911438537
28,0.27169156074523926,0.12654051854722603,17.95540818120068
