Index,SSIM,RMSE,PSNR
0,0.8934438228607178,0.06906626873392098,23.21467987987464
1,0.8777270913124084,0.07079284228834713,23.000213642382565
2,0.8804712295532227,0.06475081836499023,23.77509462413368
3,0.8672885894775391,0.07842701412017922,22.11068639946321
4,0.8751108050346375,0.0656664074814338,23.65313460251441
5,0.8665391802787781,0.06886288629992354,23.240295534254013
6,0.8562787175178528,0.08374325104554194,21.54100333465817
7,0.8657627105712891,0.10289283758751917,19.752296855232387
8,0.8617258071899414,0.09210125699721877,20.714688372807718
9,0.8821935057640076,0.07903634726764264,22.043462864165534
10,0.8982064723968506,0.06834998406891926,23.305231965741978
11,0.8739153742790222,0.07060618459568167,23.023144939573452
12,0.873482882976532,0.07202646270615282,22.85015834568949
13,0.8788802623748779,0.06923299521752477,23.193737698581916
14,0.8707761764526367,0.07858796926496801,22.092878114730084
15,0.8744195103645325,0.07707648301884029,22.26156149572917
16,0.8632187843322754,0.07008559981853613,23.087424356526736
17,0.8831283450126648,0.06595616470255669,23.614891470899725
18,0.883637011051178,0.0767606938527473,22.297222374359627
19,0.8741157650947571,0.08861048270454541,21.050297599036764
20,0.8778684735298157,0.07234384839522918,22.811967628806574
21,0.8617241978645325,0.0814792246850442,21.779062437418556
22,0.8714632391929626,0.08534206483752822,21.376737220305554
23,0.880216121673584,0.07262826157438004,22.777887402136244
24,0.87009596824646,0.07337162977302183,22.689437060964757
