Index,SSIM,RMSE,PSNR
0,0.9834744334220886,0.03416102278876783,29.329382698262314
1,0.9842525124549866,0.0184276306544228,34.69061001820003
2,0.9867233633995056,0.015715515810159442,36.073427202467116
3,0.9852671027183533,0.016323484995139886,35.74374231288976
4,0.9839315414428711,0.02744893950105046,31.229488600043798
5,0.9736011624336243,0.04984079468126073,26.048300834628225
6,0.9863059520721436,0.017825886928701604,34.978977051504266
7,0.9848837852478027,0.016594877976963743,35.60051873268952
8,0.9809913635253906,0.025939419672612596,31.720794887167777
9,0.9864141345024109,0.01703425830696351,35.37353542825083
10,0.9853349924087524,0.02825890172273636,30.976894418768218
11,0.9812042713165283,0.0193041568837733,34.28698323197279
12,0.9856234192848206,0.019241522811441626,34.3152112006053
13,0.9830496907234192,0.032543507171904025,29.750712910387414
14,0.9836306571960449,0.018604203874183493,34.60777819836012
15,0.9828426241874695,0.022689599764540574,32.88346329656707
16,0.9837386608123779,0.01664930327401769,35.57207871532208
17,0.9822961091995239,0.019292949247398217,34.292027563279014
18,0.9824855923652649,0.03017897776858871,30.405909497291987
19,0.9765776991844177,0.04869516475229307,26.250283209239743
20,0.9820115566253662,0.027840152258159296,31.106567877854804
21,0.9848882555961609,0.016739978903647135,35.52490187313404
22,0.9828713536262512,0.01977442025113549,34.0779248068445
23,0.9860925674438477,0.017730867009296283,35.02540055233927
24,0.983688235282898,0.023471529726392007,32.58917209803133
