Index,SSIM,RMSE,PSNR
0,0.9331566691398621,0.0356228857422121,28.96541768622486
1,0.9324639439582825,0.010478460259749023,39.59405056588055
2,0.923018753528595,0.026188300977727758,31.637853607980794
3,0.9398030638694763,0.0494564353443579,26.11554325395982
4,0.9372746348381042,0.0252248955845887,31.963412499395254
5,0.9328934550285339,0.030902898101164613,30.200015809393484
6,0.9665923118591309,0.010437137201458354,39.62837220441135
7,0.962704598903656,0.021053458322348697,33.53353107958264
8,0.9516445994377136,0.017984000147246663,34.90227444666917
9,0.8990607261657715,0.09992704505608845,20.006338713331697
10,0.9251466393470764,0.1025047244750934,19.785122133809185
11,0.9247007966041565,0.030675482407781247,30.264171693395326
12,0.9479716420173645,0.05229319472537303,25.631095875804412
13,0.9051584601402283,0.10825401428077414,19.31111969604543
14,0.936069667339325,0.06244152470297939,24.090530253211146
15,0.9406861662864685,0.08943913404503478,20.969447547369494
16,0.9215431809425354,0.09208171359568006,20.716531396119912
17,0.9433332085609436,0.08133019881668822,21.794962817377282
18,0.9498546719551086,0.0641869372964893,23.851066699726765
19,0.9480646252632141,0.04305107590995322,27.32032003495011
20,0.9136795997619629,0.11545233802795654,18.75194537436059
21,0.9572555422782898,0.029310641431970517,30.659493580916678
22,0.9457404613494873,0.018841330826925875,34.49776896720599
23,0.9421596527099609,0.05940987329869006,24.522827032036073
24,0.9287837147712708,0.11766699999577103,18.586906848455516
25,0.9263091683387756,0.07976756701594621,21.963472563260513
26,0.9323280453681946,0.09215631017977256,20.709498191874008
27,0.9334753155708313,0.08196050283880174,21.72790801564262
28,0.9306105971336365,0.08514790406581964,21.396520781919193
29,0.9244515299797058,0.08964042357651035,20.94992221488016
30,0.90367192029953,0.09326785501794443,20.60536009586485
31,0.9211974740028381,0.0864557979204322,21.26411708741482
32,0.9341281056404114,0.039968375868235546,27.965670118359043
33,0.9361801147460938,0.08322016257252172,21.595429181294715
34,0.9160372614860535,0.09954500455899855,20.039609924477162
35,0.9315822124481201,0.078262021188173,22.128978835202346
36,0.9053043723106384,0.07362894622305409,22.659027982540874
37,0.9282631874084473,0.049292121705654536,26.144449960566085
38,0.9540790915489197,0.06668898404797546,23.518917734832172
39,0.9354522824287415,0.07719233929661039,22.248516187659963
40,0.9388959407806396,0.06992050348034265,23.10790943851504
41,0.9443472027778625,0.0792880362249657,22.01584704336679
42,0.9218010306358337,0.10091398041147341,19.9209730890119
43,0.9526198506355286,0.05576154680442689,25.073304054267147
44,0.9147799611091614,0.05109126570550279,25.8330666448278
45,0.9460623264312744,0.09373539075668301,20.56192820265045
46,0.9414981007575989,0.07330887619438162,22.69686878731845
47,0.9368996620178223,0.02899956847354855,30.752169495748326
